scope,model_code,trigger,market_regime,horizon_sessions,signal_count,entry_executable_count,censored_or_blocked_count,sample_count,win_count,win_rate,win_rate_ci_low,win_rate_ci_high,mean_net_return,median_net_return
FULL,S0000,ENGULFING,UP,30,6103,6085,18,6085,2861,0.470173,0.457655,0.482728,0.031562,-0.011763
FULL,S0000,ENGULFING,UP,60,6103,6085,20,6083,2921,0.480191,0.467652,0.492754,0.068951,-0.009395
FULL,S0000,ENGULFING,UP,90,6103,6085,75,6028,2926,0.485401,0.472798,0.498023,0.094074,-0.008178
FULL,S0000,ENGULFING,DOWN,30,7265,7241,24,7241,4357,0.601712,0.590386,0.612931,0.063346,0.041054
FULL,S0000,ENGULFING,DOWN,60,7265,7241,24,7241,4227,0.583759,0.572364,0.595066,0.082204,0.044992
FULL,S0000,ENGULFING,DOWN,90,7265,7241,24,7241,4112,0.567877,0.556435,0.579248,0.085961,0.041331
FULL,S0000,ENGULFING,SIDEWAYS,30,16755,16712,518,16237,7840,0.482848,0.475167,0.490537,0.010082,-0.005205
FULL,S0000,ENGULFING,SIDEWAYS,60,16755,16712,1072,15683,7663,0.488618,0.480799,0.496443,0.027167,-0.004569
FULL,S0000,ENGULFING,SIDEWAYS,90,16755,16712,1312,15443,7371,0.477304,0.469432,0.485186,0.036584,-0.010617
FULL,S0000,STRONG_FRACTAL,UP,30,22868,22733,135,22733,10557,0.464391,0.457914,0.47088,0.023662,-0.013279
FULL,S0000,STRONG_FRACTAL,UP,60,22868,22733,135,22733,10815,0.47574,0.469253,0.482236,0.063934,-0.010955
FULL,S0000,STRONG_FRACTAL,UP,90,22868,22733,459,22409,10828,0.483199,0.476659,0.489744,0.096861,-0.009171
FULL,S0000,STRONG_FRACTAL,DOWN,30,26313,26105,208,26105,14205,0.544149,0.538101,0.550183,0.041041,0.018307
FULL,S0000,STRONG_FRACTAL,DOWN,60,26313,26105,208,26105,14595,0.559088,0.553057,0.565102,0.063494,0.029667
FULL,S0000,STRONG_FRACTAL,DOWN,90,26313,26105,208,26105,14931,0.571959,0.565947,0.577951,0.080715,0.046167
FULL,S0000,STRONG_FRACTAL,SIDEWAYS,30,59726,59199,2433,57293,27616,0.482014,0.477923,0.486106,0.012393,-0.005759
FULL,S0000,STRONG_FRACTAL,SIDEWAYS,60,59726,59199,3832,55894,26770,0.478942,0.474802,0.483085,0.026708,-0.008798
FULL,S0000,STRONG_FRACTAL,SIDEWAYS,90,59726,59199,4848,54878,26427,0.481559,0.47738,0.485741,0.041106,-0.009369
FULL,S0001,ENGULFING,UP,30,596,595,1,595,247,0.415126,0.376202,0.455139,0.009031,-0.025351
FULL,S0001,ENGULFING,UP,60,596,595,1,595,266,0.447059,0.407576,0.487221,0.041458,-0.021154
FULL,S0001,ENGULFING,UP,90,596,595,5,591,249,0.42132,0.382145,0.461511,0.045827,-0.034929
FULL,S0001,ENGULFING,DOWN,30,385,385,0,385,220,0.571429,0.52153,0.619915,0.042748,0.025888
FULL,S0001,ENGULFING,DOWN,60,385,385,0,385,221,0.574026,0.52414,0.62245,0.079471,0.033384
FULL,S0001,ENGULFING,DOWN,90,385,385,0,385,220,0.571429,0.52153,0.619915,0.088651,0.04286
FULL,S0001,ENGULFING,SIDEWAYS,30,1312,1310,20,1292,632,0.489164,0.461979,0.516413,0.00946,-0.003992
FULL,S0001,ENGULFING,SIDEWAYS,60,1312,1310,43,1269,586,0.461781,0.434508,0.489284,0.015927,-0.018814
